!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9979313198179561, "ud.x": 0.002068680182043856}
cabezas	{"ud.noun": 1.0}
cabida	{"ud.noun": 1.0}
cabildo	{"ud.noun": 1.0}
cabina	{"ud.noun": 1.0}
cable	{"ud.noun": 1.0}
cables	{"ud.noun": 1.0}
cabo	{"ud.noun": 0.9444444444444444, "ud.propn": 0.05555555555555555}
cabra	{"ud.noun": 1.0}
cabral	{"ud.propn": 1.0}
cabras	{"ud.noun": 1.0}
cada	{"ud.det": 1.0}
cadena	{"ud.noun": 0.8536585365853658, "ud.propn": 0.14634146341463414}
cadenas	{"ud.noun": 1.0}
cadáver	{"ud.noun": 1.0}
cae	{"ud.verb": 1.0}
caen	{"ud.propn": 0.5, "ud.verb": 0.5}
caer	{"ud.verb": 0.8, "ud.noun": 0.1, "ud.propn": 0.1}
cafetería	{"ud.noun": 0.75, "ud.verb": 0.25}
café	{"ud.propn": 0.16666666666666666, "ud.noun": 0.75, "ud.adj": 0.08333333333333333}
cai	{"ud.propn": 1.0}
cairo	{"ud.propn": 1.0}
caja	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
cajamarca	{"ud.propn": 1.0}
cajas	{"ud.noun": 1.0}
cajón	{"ud.noun": 1.0}
calcio	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
calcular	{"ud.verb": 1.0}
calcuta	{"ud.propn": 1.0}
caldera	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
calderón	{"ud.propn": 1.0}
calendario	{"ud.noun": 1.0}
calentamiento	{"ud.noun": 1.0}
caleta	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
cali	{"ud.propn": 1.0}
calibre	{"ud.noun": 1.0}
calidad	{"ud.noun": 1.0}
caliente	{"ud.adj": 0.5833333333333334, "ud.propn": 0.25, "ud.noun": 0.16666666666666666}
calificación	{"ud.noun": 1.0}
calificó	{"ud.verb": 1.0}
california	{"ud.propn": 1.0}
californias	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
caliza	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
callao	{"ud.propn": 1.0}
calle	{"ud.noun": 0.7352941176470589, "ud.propn": 0.2647058823529412}
calles	{"ud.noun": 1.0}
calma	{"ud.noun": 1.0}
calor	{"ud.noun": 1.0}
calormenos	{"ud.noun": 1.0}
calpis	{"ud.propn": 1.0}
calvo	{"ud.propn": 1.0}
calzada	{"ud.noun": 1.0}
cama	{"ud.noun": 1.0}
camacho	{"ud.propn": 1.0}
camarera	{"ud.noun": 1.0}
camareros	{"ud.noun": 1.0}
camas	{"ud.noun": 1.0}
cambia	{"ud.verb": 1.0}
cambiado	{"ud.verb": 1.0}
cambian	{"ud.verb": 1.0}
cambiando	{"ud.verb": 1.0}
cambiar	{"ud.verb": 1.0}
cambio	{"ud.noun": 0.9315068493150684, "ud.propn": 0.0273972602739726, "ud.verb": 0.0410958904109589}
cambios	{"ud.noun": 1.0}
cambió	{"ud.verb": 1.0}
cambridge	{"ud.propn": 1.0}
cameron	{"ud.propn": 1.0}
caminando	{"ud.verb": 1.0}
caminar	{"ud.verb": 1.0}
camino	{"ud.noun": 0.8679245283018868, "ud.propn": 0.1320754716981132}
caminos	{"ud.noun": 0.9, "ud.propn": 0.1}
camiones	{"ud.noun": 1.0}
camioneta	{"ud.noun": 1.0}
camiseta	{"ud.noun": 1.0}
camp	{"ud.propn": 1.0}
campa	{"ud.propn": 1.0}
campamento	{"ud.noun": 0.875, "ud.propn": 0.125}
campana	{"ud.noun": 0.5, "ud.propn": 0.5}
campaña	{"ud.noun": 0.975, "ud.propn": 0.025}
campañas	{"ud.noun": 1.0}
campeona	{"ud.noun": 1.0}
campeonato	{"ud.noun": 0.6595744680851063, "ud.propn": 0.3404255319148936}
campeonatos	{"ud.noun": 0.9, "ud.propn": 0.1}
campeones	{"ud.propn": 0.5, "ud.noun": 0.5}
campero	{"ud.propn": 1.0}
campesina	{"ud.adj": 1.0}
campesinos	{"ud.noun": 0.875, "ud.propn": 0.125}
campeón	{"ud.noun": 0.9375, "ud.propn": 0.0625}
campo	{"ud.noun": 0.8412698412698413, "ud.propn": 0.15873015873015872}
campos	{"ud.noun": 0.8181818181818182, "ud.propn": 0.18181818181818182}
camps	{"ud.propn": 1.0}
campus	{"ud.noun": 1.0}
can	{"ud.propn": 1.0}
canada	{"ud.propn": 1.0}
canadiense	{"ud.adj": 1.0}
canadá	{"ud.propn": 1.0}
canal	{"ud.noun": 0.42857142857142855, "ud.propn": 0.5714285714285714}
canales	{"ud.noun": 0.75, "ud.propn": 0.25}
canaria	{"ud.adj": 0.42857142857142855, "ud.propn": 0.5714285714285714}
canarias	{"ud.adj": 0.25, "ud.propn": 0.75}
cancelación	{"ud.noun": 1.0}
cancelado	{"ud.verb": 0.8, "ud.adj": 0.2}
cancha	{"ud.noun": 1.0}
canchas	{"ud.noun": 1.0}
canciones	{"ud.noun": 1.0}
canción	{"ud.propn": 0.0594059405940594, "ud.noun": 0.9405940594059405}
candelaria	{"ud.propn": 1.0}
candidatas	{"ud.noun": 1.0}
candidato	{"ud.noun": 1.0}
candidatos	{"ud.noun": 0.9333333333333333, "ud.propn": 0.06666666666666667}
candidatura	{"ud.noun": 1.0}
cano	{"ud.propn": 1.0}
cansado	{"ud.verb": 0.3333333333333333, "ud.adj": 0.6666666666666666}
canta	{"ud.verb": 1.0}
cantabria	{"ud.propn": 1.0}
cantan	{"ud.verb": 1.0}
cantando	{"ud.verb": 0.875, "ud.propn": 0.125}
cantante	{"ud.noun": 0.9722222222222222, "ud.adj": 0.027777777777777776}
cantantes	{"ud.noun": 1.0}
cantar	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
cantera	{"ud.noun": 1.0}
canteras	{"ud.noun": 1.0}
canteros	{"ud.noun": 1.0}
cantidad	{"ud.noun": 1.0}
cantidades	{"ud.noun": 1.0}
canto	{"ud.noun": 0.9333333333333333, "ud.propn": 0.06666666666666667}
cantor	{"ud.adj": 0.3333333333333333, "ud.noun": 0.3333333333333333, "ud.propn": 0.3333333333333333}
cantos	{"ud.noun": 0.5, "ud.propn": 0.5}
cantó	{"ud.verb": 1.0}
cantón	{"ud.noun": 0.9375, "ud.propn": 0.0625}
capa	{"ud.noun": 1.0}
capaces	{"ud.adj": 0.9, "ud.noun": 0.1}
capacidad	{"ud.noun": 1.0}
capacidades	{"ud.noun": 1.0}
capacitación	{"ud.noun": 1.0}
capas	{"ud.noun": 1.0}
capaz	{"ud.adj": 0.9375, "ud.noun": 0.0625}
cape	{"ud.propn": 1.0}
capilla	{"ud.noun": 0.875, "ud.propn": 0.125}
capillas	{"ud.noun": 1.0}
capital	{"ud.noun": 0.9263157894736842, "ud.adj": 0.010526315789473684, "ud.propn": 0.06315789473684211}
capitales	{"ud.noun": 1.0}
capitalistas	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
capitanes	{"ud.noun": 1.0}
capitolio	{"ud.propn": 1.0}
capitán	{"ud.noun": 0.8, "ud.propn": 0.2}
captain	{"ud.propn": 1.0}
captar	{"ud.verb": 1.0}
captura	{"ud.verb": 0.25, "ud.noun": 0.75}
capturada	{"ud.verb": 1.0}
capturado	{"ud.adj": 0.16666666666666666, "ud.verb": 0.8333333333333334}
capturados	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
capítulo	{"ud.noun": 1.0}
capítulos	{"ud.noun": 1.0}
car	{"ud.propn": 0.6, "ud.noun": 0.2, "ud.x": 0.2}
cara	{"ud.noun": 0.8974358974358975, "ud.adj": 0.10256410256410256}
carabelas	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
caracas	{"ud.propn": 1.0}
caracteres	{"ud.noun": 1.0}
caracteriza	{"ud.verb": 1.0}
caracterizada	{"ud.verb": 1.0}
caracterizan	{"ud.verb": 1.0}
característica	{"ud.adj": 0.21428571428571427, "ud.noun": 0.7142857142857143, "ud.verb": 0.07142857142857142}
características	{"ud.noun": 1.0}
característico	{"ud.adj": 1.0}
característicos	{"ud.adj": 1.0}
caras	{"ud.adj": 0.42857142857142855, "ud.noun": 0.5714285714285714}
caravana	{"ud.noun": 0.75, "ud.propn": 0.25}
carbono	{"ud.noun": 0.75, "ud.propn": 0.25}
carbón	{"ud.noun": 0.875, "ud.propn": 0.125}
cardenal	{"ud.noun": 0.7, "ud.propn": 0.3}
cardinales	{"ud.adj": 1.0}
cardíaco	{"ud.adj": 1.0}
carece	{"ud.verb": 1.0}
carecen	{"ud.verb": 1.0}
carga	{"ud.noun": 0.9545454545454546, "ud.verb": 0.045454545454545456}
cargador	{"ud.noun": 1.0}
cargados	{"ud.verb": 0.75, "ud.adj": 0.25}
cargar	{"ud.verb": 1.0}
cargas	{"ud.noun": 1.0}
cargo	{"ud.noun": 0.98, "ud.propn": 0.02}
cargos	{"ud.noun": 1.0}
caribe	{"ud.propn": 1.0}
caricatura	{"ud.noun": 1.0}
caridad	{"ud.noun": 0.5, "ud.propn": 0.5}
carioca	{"ud.adj": 0.3333333333333333, "ud.propn": 0.3333333333333333, "ud.noun": 0.3333333333333333}
cariño	{"ud.noun": 1.0}
carl	{"ud.propn": 1.0}
carlo	{"ud.propn": 1.0}
carlos	{"ud.propn": 1.0}
carly	{"ud.propn": 1.0}
carmen	{"ud.propn": 0.9285714285714286, "ud.x": 0.07142857142857142}
carnaval	{"ud.propn": 0.42857142857142855, "ud.noun": 0.5714285714285714}
carne	{"ud.noun": 0.9696969696969697, "ud.propn": 0.030303030303030304}
carnes	{"ud.noun": 1.0}
caro	{"ud.adj": 1.0}
carod	{"ud.propn": 1.0}
carolina	{"ud.propn": 1.0}
carpa	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
carrera	{"ud.noun": 0.9577464788732394, "ud.propn": 0.04225352112676056}
carreras	{"ud.noun": 1.0}
carretera	{"ud.noun": 0.9565217391304348, "ud.propn": 0.043478260869565216}
carreteras	{"ud.propn": 0.25, "ud.noun": 0.75}
carriles	{"ud.noun": 1.0}
carrillo	{"ud.propn": 1.0}
carro	{"ud.noun": 0.8, "ud.propn": 0.2}
carta	{"ud.noun": 0.972972972972973, "ud.propn": 0.02702702702702703}
cartas	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
cartel	{"ud.noun": 1.0}
carteles	{"ud.noun": 1.0}
carter	{"ud.propn": 1.0}
cartera	{"ud.noun": 1.0}
carvajal	{"ud.propn": 1.0}
carácter	{"ud.noun": 1.0}
casa	{"ud.noun": 0.803921568627451, "ud.propn": 0.17647058823529413, "ud.verb": 0.0196078431372549}
casada	{"ud.adj": 0.6, "ud.verb": 0.4}
casado	{"ud.propn": 0.38461538461538464, "ud.verb": 0.15384615384615385, "ud.adj": 0.46153846153846156}
casar	{"ud.verb": 1.0}
casarse	{"ud._": 1.0}
casas	{"ud.noun": 0.9310344827586207, "ud.propn": 0.06896551724137931}
casco	{"ud.noun": 0.9166666666666666, "ud.propn": 0.08333333333333333}
cascos	{"ud.noun": 1.0}
casero	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
caseros	{"ud.adj": 0.6666666666666666, "ud.propn": 0.3333333333333333}
caserío	{"ud.noun": 1.0}
casi	{"ud.adv": 0.9818181818181818, "ud.adp": 0.00909090909090909, "ud.propn": 0.00909090909090909}
casimiro	{"ud.propn": 1.0}
casino	{"ud.propn": 0.8, "ud.noun": 0.2}
caso	{"ud.noun": 0.9905660377358491, "ud.propn": 0.009433962264150943}
casos	{"ud.noun": 1.0}
casta	{"ud.noun": 1.0}
castellana	{"ud.adj": 0.8333333333333334, "ud.propn": 0.16666666666666666}
castellano	{"ud.noun": 0.5714285714285714, "ud.adj": 0.42857142857142855}
castellón	{"ud.propn": 1.0}
castigo	{"ud.noun": 1.0}
castilla	{"ud.propn": 1.0}
castillejo	{"ud.propn": 1.0}
castillo	{"ud.noun": 0.7297297297297297, "ud.propn": 0.2702702702702703}
castillos	{"ud.noun": 1.0}
casting	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
castro	{"ud.noun": 0.05263157894736842, "ud.propn": 0.8947368421052632, "ud.x": 0.05263157894736842}
casualidad	{"ud.noun": 1.0}
casó	{"ud.verb": 1.0}
catalana	{"ud.propn": 0.17647058823529413, "ud.adj": 0.8235294117647058}
catalanas	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
catalanes	{"ud.adj": 0.5, "ud.noun": 0.25, "ud.propn": 0.25}
catalina	{"ud.propn": 1.0}
catalunya	{"ud.propn": 1.0}
cataluña	{"ud.propn": 1.0}
catalán	{"ud.noun": 0.5714285714285714, "ud.adj": 0.42857142857142855}
catar	{"ud.propn": 1.0}
catedral	{"ud.noun": 0.8, "ud.propn": 0.2}
catedrático	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
categoría	{"ud.noun": 1.0}
categorías	{"ud.noun": 1.0}
catering	{"ud.x": 0.75, "ud.propn": 0.25}
catorce	{"ud.num": 1.0}
catálogo	{"ud.propn": 0.25, "ud.noun": 0.75}
catástrofe	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
católica	{"ud.propn": 0.30434782608695654, "ud.adj": 0.6086956521739131, "ud.noun": 0.043478260869565216, "ud.verb": 0.043478260869565216}
católico	{"ud.propn": 0.16666666666666666, "ud.noun": 0.3333333333333333, "ud.adj": 0.5}
católicos	{"ud.noun": 0.5, "ud.propn": 0.3333333333333333, "ud.adj": 0.16666666666666666}
cauce	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
caudal	{"ud.noun": 1.0}
caudillos	{"ud.noun": 1.0}
causa	{"ud.noun": 0.9736842105263158, "ud.verb": 0.02631578947368421}
causadas	{"ud.verb": 1.0}
causado	{"ud.verb": 1.0}
causando	{"ud.verb": 1.0}
causar	{"ud.verb": 1.0}
causaron	{"ud.verb": 1.0}
causas	{"ud.noun": 1.0}
causó	{"ud.verb": 1.0}
cava	{"ud.noun": 1.0}
cavidad	{"ud.noun": 1.0}
cayendo	{"ud.verb": 1.0}
cayeron	{"ud.verb": 1.0}
cayó	{"ud.verb": 1.0}
caza	{"ud.noun": 1.0}
cazador	{"ud.noun": 1.0}
cazas	{"ud.noun": 1.0}
caída	{"ud.noun": 0.875, "ud.adj": 0.125}
caídas	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
caído	{"ud.verb": 1.0}
cañones	{"ud.noun": 0.8, "ud.propn": 0.2}
cañón	{"ud.noun": 1.0}
cb	{"ud.propn": 1.0}
cbs	{"ud.propn": 1.0}
cd	{"ud.noun": 0.5833333333333334, "ud.x": 0.16666666666666666, "ud.propn": 0.25}
cebada	{"ud.noun": 1.0}
cecil	{"ud.propn": 1.0}
ceda	{"ud.propn": 1.0}
cede	{"ud.verb": 1.0}
cedido	{"ud.verb": 0.5, "ud.adj": 0.5}
cedió	{"ud.verb": 1.0}
celda	{"ud.noun": 1.0}
celebra	{"ud.verb": 1.0}
celebraba	{"ud.verb": 1.0}
celebraciones	{"ud.noun": 1.0}
celebración	{"ud.noun": 1.0}
celebrada	{"ud.verb": 0.8571428571428571, "ud.adj": 0.14285714285714285}
celebradas	{"ud.verb": 1.0}
celebrado	{"ud.verb": 1.0}
celebran	{"ud.verb": 1.0}
celebrando	{"ud.verb": 1.0}
celebrar	{"ud.verb": 1.0}
celebrarse	{"ud._": 1.0}
celebrará	{"ud.verb": 1.0}
celebró	{"ud.verb": 1.0}
celeste	{"ud.noun": 0.3333333333333333, "ud.adj": 0.6666666666666666}
celtic	{"ud.propn": 1.0}
celular	{"ud.adj": 0.75, "ud.noun": 0.25}
cementerio	{"ud.noun": 0.9230769230769231, "ud.propn": 0.07692307692307693}
cena	{"ud.noun": 0.7272727272727273, "ud.propn": 0.2727272727272727}
cenar	{"ud.verb": 1.0}
cenas	{"ud.noun": 0.8333333333333334, "ud.verb": 0.16666666666666666}
censo	{"ud.noun": 0.8563218390804598, "ud.propn": 0.13793103448275862, "ud.verb": 0.005747126436781609}
censura	{"ud.noun": 1.0}
centenar	{"ud.noun": 1.0}
centenares	{"ud.noun": 1.0}
centenario	{"ud.noun": 0.8, "ud.propn": 0.2}
centeno	{"ud.noun": 1.0}
center	{"ud.propn": 0.8571428571428571, "ud.x": 0.14285714285714285}
centra	{"ud.verb": 1.0}
central	{"ud.noun": 0.2222222222222222, "ud.propn": 0.3838383838383838, "ud.adj": 0.3939393939393939}
centrales	{"ud.adj": 0.5333333333333333, "ud.noun": 0.4666666666666667}
centrar	{"ud.verb": 1.0}
centrarse	{"ud._": 1.0}
centre	{"ud.propn": 1.0}
centro	{"ud.propn": 0.1724137931034483, "ud.noun": 0.8275862068965517}
centroamérica	{"ud.propn": 1.0}
centrocampista	{"ud.noun": 1.0}
centros	{"ud.noun": 1.0}
centró	{"ud.verb": 1.0}
century	{"ud.propn": 1.0}
centímetro	{"ud.noun": 1.0}
ceo	{"ud.noun": 0.6666666666666666, "ud.x": 0.3333333333333333}
cepeda	{"ud.propn": 1.0}
cera	{"ud.noun": 0.8, "ud.propn": 0.2}
cerca	{"ud.adv": 1.0}
cercana	{"ud.adj": 1.0}
cercanas	{"ud.adj": 1.0}
cercano	{"ud.adj": 1.0}
cercanos	{"ud.adj": 0.9333333333333333, "ud.noun": 0.06666666666666667}
cercanía	{"ud.noun": 1.0}
cercanías	{"ud.noun": 1.0}
cerdo	{"ud.noun": 1.0}
cerebral	{"ud.adj": 1.0}
cerebrales	{"ud.adj": 1.0}
cerebro	{"ud.noun": 1.0}
ceremonia	{"ud.noun": 1.0}
ceremonias	{"ud.noun": 1.0}
cero	{"ud.noun": 0.1111111111111111, "ud.num": 0.7777777777777778, "ud.propn": 0.1111111111111111}
cerrada	{"ud.adj": 0.6, "ud.verb": 0.4}
cerradas	{"ud.adj": 0.5, "ud.verb": 0.5}
cerrado	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
cerrados	{"ud.adj": 0.75, "ud.verb": 0.25}
cerrando	{"ud.verb": 0.6666666666666666, "ud.propn": 0.3333333333333333}
cerrar	{"ud.verb": 1.0}
cerrará	{"ud.verb": 1.0}
cerro	{"ud.noun": 0.5625, "ud.propn": 0.375, "ud.verb": 0.0625}
cerros	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
cerró	{"ud.verb": 1.0}
certamen	{"ud.noun": 1.0}
certeza	{"ud.noun": 1.0}
certificado	{"ud.verb": 0.8, "ud.noun": 0.2}
cerveza	{"ud.noun": 1.0}
cervezas	{"ud.noun": 1.0}
cerámica	{"ud.noun": 1.0}
cerámicas	{"ud.noun": 0.8, "ud.adj": 0.2}
cesado	{"ud.verb": 1.0}
cesc	{"ud.propn": 1.0}
cese	{"ud.noun": 1.0}
cesión	{"ud.noun": 1.0}
cf	{"ud.propn": 1.0}
chaco	{"ud.noun": 0.25, "ud.propn": 0.75}
chacras	{"ud.noun": 0.5, "ud.adj": 0.25, "ud.propn": 0.25}
chacón	{"ud.propn": 1.0}
chad	{"ud.propn": 1.0}
champagne	{"ud.propn": 1.0}
champaña	{"ud.propn": 0.8333333333333334, "ud.noun": 0.16666666666666666}
champions	{"ud.propn": 1.0}
championship	{"ud.propn": 1.0}
channel	{"ud.propn": 1.0}
charco	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
charla	{"ud.noun": 1.0}
charles	{"ud.propn": 1.0}
charlie	{"ud.propn": 1.0}
charlotte	{"ud.propn": 1.0}
chart	{"ud.propn": 1.0}
chasis	{"ud.noun": 1.0}
chatarra	{"ud.noun": 1.0}
chaves	{"ud.propn": 1.0}
che	{"ud.propn": 0.75, "ud.x": 0.25}
checa	{"ud.propn": 1.0}
chef	{"ud.noun": 1.0}
chelsea	{"ud.propn": 1.0}
chernetidae	{"ud.propn": 1.0}
chesapeake	{"ud.propn": 1.0}
chester	{"ud.propn": 1.0}
chi	{"ud.propn": 1.0}
chica	{"ud.noun": 0.7142857142857143, "ud.propn": 0.21428571428571427, "ud.adj": 0.07142857142857142}
chicago	{"ud.propn": 1.0}
chicas	{"ud.noun": 1.0}
chico	{"ud.noun": 0.5454545454545454, "ud.propn": 0.18181818181818182, "ud.adj": 0.2727272727272727}
chicos	{"ud.noun": 0.9285714285714286, "ud.propn": 0.07142857142857142}
chihuahua	{"ud.propn": 1.0}
chile	{"ud.propn": 1.0}
chilena	{"ud.noun": 0.1111111111111111, "ud.adj": 0.8888888888888888}
chileno	{"ud.adj": 0.9285714285714286, "ud.noun": 0.07142857142857142}
chimenea	{"ud.noun": 1.0}
china	{"ud.propn": 0.8, "ud.adj": 0.2}
chino	{"ud.adj": 0.7333333333333333, "ud.noun": 0.26666666666666666}
chip	{"ud.noun": 0.8571428571428571, "ud.x": 0.14285714285714285}
chipre	{"ud.propn": 1.0}
choice	{"ud.propn": 1.0}
chris	{"ud.propn": 1.0}
christi	{"ud.propn": 1.0}
christian	{"ud.propn": 1.0}
christopher	{"ud.propn": 1.0}
chuck	{"ud.propn": 1.0}
chávez	{"ud.propn": 1.0}
château	{"ud.propn": 1.0}
cia	{"ud.propn": 1.0}
cichlidae	{"ud.propn": 1.0}
ciclista	{"ud.adj": 0.4, "ud.noun": 0.6}
ciclo	{"ud.noun": 1.0}
ciclos	{"ud.noun": 0.8571428571428571, "ud.propn": 0.14285714285714285}
cielo	{"ud.noun": 0.9375, "ud.propn": 0.0625}
cielos	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
cien	{"ud.num": 0.9230769230769231, "ud.propn": 0.07692307692307693}
ciencia	{"ud.propn": 0.15151515151515152, "ud.noun": 0.8484848484848485}
cienciano	{"ud.propn": 1.0}
ciencias	{"ud.noun": 0.53125, "ud.propn": 0.46875}
ciento	{"ud.num": 0.8421052631578947, "ud.noun": 0.15789473684210525}
cientos	{"ud.num": 0.3333333333333333, "ud.noun": 0.6666666666666666}
científica	{"ud.adj": 0.9, "ud.propn": 0.1}
científicas	{"ud.propn": 0.6666666666666666, "ud.adj": 0.3333333333333333}
científico	{"ud.noun": 0.3333333333333333, "ud.adj": 0.6666666666666666}
científicos	{"ud.noun": 0.5789473684210527, "ud.adj": 0.42105263157894735}
cierra	{"ud.verb": 1.0}
cierre	{"ud.noun": 1.0}
cierta	{"ud.det": 0.5, "ud.adj": 0.4, "ud.num": 0.1}
ciertamente	{"ud.adv": 1.0}
ciertas	{"ud.det": 0.9230769230769231, "ud.adj": 0.07692307692307693}
cierto	{"ud.adj": 0.7037037037037037, "ud.det": 0.18518518518518517, "ud.noun": 0.1111111111111111}
ciertos	{"ud.det": 0.9333333333333333, "ud.adj": 0.06666666666666667}
cifra	{"ud.noun": 1.0}
cifras	{"ud.noun": 1.0}
cima	{"ud.noun": 1.0}
cinco	{"ud.num": 0.9529411764705882, "ud.propn": 0.03529411764705882, "ud.noun": 0.011764705882352941}
cincuenta	{"ud.num": 1.0}
cine	{"ud.noun": 0.803921568627451, "ud.propn": 0.19607843137254902}
cinematográfica	{"ud.adj": 1.0}
cinta	{"ud.noun": 0.9230769230769231, "ud.propn": 0.07692307692307693}
cinturón	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
circo	{"ud.noun": 1.0}
circuito	{"ud.propn": 0.05555555555555555, "ud.noun": 0.9444444444444444}
circuitos	{"ud.noun": 1.0}
circula	{"ud.verb": 1.0}
circulación	{"ud.noun": 1.0}
circular	{"ud.verb": 0.8333333333333334, "ud.adj": 0.16666666666666666}
circulares	{"ud.adj": 1.0}
circundantes	{"ud.adj": 1.0}
circunscripción	{"ud.noun": 1.0}
circunstancias	{"ud.noun": 1.0}
cirugía	{"ud.noun": 1.0}
cisneros	{"ud.propn": 1.0}
cita	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
citado	{"ud.verb": 0.8, "ud.adj": 0.2}
citar	{"ud.verb": 1.0}
city	{"ud.propn": 1.0}
ciu	{"ud.propn": 1.0}
ciudad	{"ud.propn": 0.10451977401129943, "ud.noun": 0.8954802259887006}
ciudadano	{"ud.noun": 0.875, "ud.propn": 0.125}
ciudadanos	{"ud.noun": 1.0}
ciudadanía	{"ud.noun": 1.0}
ciudades	{"ud.noun": 1.0}
civil	{"ud.adj": 0.68, "ud.propn": 0.32}
civiles	{"ud.adj": 0.6153846153846154, "ud.noun": 0.38461538461538464}
civilizaciones	{"ud.noun": 0.7142857142857143, "ud.propn": 0.2857142857142857}
civilización	{"ud.noun": 1.0}
cj	{"ud.propn": 1.0}
clandestinidad	{"ud.noun": 1.0}
clandestino	{"ud.adj": 1.0}
clara	{"ud.adj": 0.6923076923076923, "ud.propn": 0.3076923076923077}
claramente	{"ud.adv": 1.0}
claridad	{"ud.noun": 1.0}
clark	{"ud.propn": 1.0}
clarke	{"ud.propn": 1.0}
claro	{"ud.adj": 0.8125, "ud.adv": 0.125, "ud.propn": 0.03125, "ud.noun": 0.03125}
claros	{"ud.adj": 0.75, "ud.x": 0.125, "ud.noun": 0.125}
clarín	{"ud.propn": 1.0}
clase	{"ud.noun": 0.9767441860465116, "ud.propn": 0.023255813953488372}
clases	{"ud.noun": 1.0}
clasificación	{"ud.noun": 1.0}
clasificado	{"ud.noun": 0.25, "ud.verb": 0.75}
clasifican	{"ud.verb": 1.0}
clasificando	{"ud.verb": 1.0}
claude	{"ud.propn": 1.0}
claudia	{"ud.propn": 1.0}
claustro	{"ud.noun": 1.0}
clausura	{"ud.noun": 0.8, "ud.verb": 0.1, "ud.propn": 0.1}
clave	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
claves	{"ud.adj": 0.25, "ud.noun": 0.75}
clavo	{"ud.noun": 1.0}
clemente	{"ud.propn": 1.0}
clermont	{"ud.propn": 1.0}
cleveland	{"ud.propn": 1.0}
cliente	{"ud.noun": 0.9743589743589743, "ud.adj": 0.02564102564102564}
clientela	{"ud.noun": 1.0}
clientes	{"ud.noun": 1.0}
clima	{"ud.noun": 1.0}
clinica	{"ud.noun": 1.0}
clinton	{"ud.propn": 1.0}
clippers	{"ud.propn": 1.0}
club	{"ud.noun": 0.75, "ud.propn": 0.24431818181818182, "ud.x": 0.005681818181818182}
clubes	{"ud.noun": 0.9565217391304348, "ud.propn": 0.043478260869565216}
clásica	{"ud.adj": 0.6666666666666666, "ud.propn": 0.3333333333333333}
clásico	{"ud.adj": 0.5625, "ud.noun": 0.3125, "ud.propn": 0.125}
clásicos	{"ud.noun": 0.6, "ud.adj": 0.2, "ud.propn": 0.2}
clínica	{"ud.noun": 1.0}
clínicas	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
clínico	{"ud.adj": 0.6666666666666666, "ud.propn": 0.3333333333333333}
cm	{"ud.noun": 0.6739130434782609, "ud.sym": 0.32608695652173914}
co	{"ud.x": 0.75, "ud.part": 0.16666666666666666, "ud.propn": 0.08333333333333333}
coalición	{"ud.noun": 0.8, "ud.propn": 0.2}
cobertura	{"ud.noun": 1.0}
cobra	{"ud.verb": 1.0}
cobran	{"ud.verb": 1.0}
cobrar	{"ud.verb": 1.0}
cobraron	{"ud.verb": 1.0}
cobre	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
cobró	{"ud.verb": 1.0}
coca	{"ud.propn": 1.0}
cocaína	{"ud.noun": 1.0}
coche	{"ud.noun": 1.0}
coches	{"ud.noun": 1.0}
cocina	{"ud.noun": 0.9666666666666667, "ud.propn": 0.03333333333333333}
cocinan	{"ud.verb": 1.0}
cocinas	{"ud.noun": 1.0}
cocinero	{"ud.noun": 1.0}
