!	{"ud.punct": 1.0}
!!	{"ud.punct": 1.0}
!!!	{"ud.punct": 1.0}
!!!!	{"ud.punct": 1.0}
!!!!!	{"ud.punct": 1.0}
!!!!!!	{"ud.punct": 1.0}
!!!!!!!	{"ud.punct": 1.0}
!?	{"ud.punct": 1.0}
"	{"ud.punct": 0.9969135802469136, "ud.noun": 0.0030864197530864196}
defeat	{"ud.verb": 0.75, "ud.noun": 0.25}
defeated	{"ud.verb": 1.0}
defeats	{"ud.verb": 1.0}
defence	{"ud.propn": 0.5555555555555556, "ud.noun": 0.4444444444444444}
defend	{"ud.verb": 1.0}
defense	{"ud.noun": 0.8947368421052632, "ud.propn": 0.10526315789473684}
defensive	{"ud.adj": 1.0}
definately	{"ud.adv": 1.0}
define	{"ud.verb": 1.0}
defined	{"ud.verb": 1.0}
defining	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
definitely	{"ud.adv": 1.0}
definition	{"ud.noun": 1.0}
degenerate	{"ud.adj": 0.6, "ud.propn": 0.2, "ud.noun": 0.2}
degree	{"ud.noun": 0.9090909090909091, "ud.propn": 0.09090909090909091}
degrees	{"ud.noun": 0.875, "ud.verb": 0.125}
degu	{"ud.noun": 1.0}
dehydrated	{"ud.adj": 1.0}
del	{"ud.x": 0.5, "ud.propn": 0.5}
delay	{"ud.noun": 0.8, "ud.verb": 0.2}
delete	{"ud.verb": 1.0}
deleted	{"ud.verb": 1.0}
delhi	{"ud.propn": 1.0}
deliberately	{"ud.adv": 1.0}
delicate	{"ud.adj": 1.0}
delicious	{"ud.adj": 1.0}
delight	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
delighted	{"ud.adj": 1.0}
deliver	{"ud.verb": 1.0}
delivered	{"ud.verb": 1.0}
delivery	{"ud.noun": 0.875, "ud.propn": 0.125}
delta	{"ud.propn": 0.7142857142857143, "ud.noun": 0.2857142857142857}
demand	{"ud.noun": 0.7, "ud.verb": 0.3}
demanding	{"ud.verb": 1.0}
democracy	{"ud.noun": 1.0}
democratic	{"ud.propn": 0.4, "ud.adj": 0.6}
democrats	{"ud.propn": 0.5, "ud.noun": 0.5}
demonstrate	{"ud.verb": 1.0}
demonstrated	{"ud.verb": 1.0}
dempsey	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
denial	{"ud.noun": 1.0}
denise	{"ud.propn": 1.0}
denmark	{"ud.propn": 1.0}
dennis	{"ud.propn": 1.0}
dental	{"ud.propn": 0.2857142857142857, "ud.adj": 0.7142857142857143}
dentist	{"ud.noun": 1.0}
denton	{"ud.propn": 1.0}
deny	{"ud.verb": 1.0}
department	{"ud.propn": 0.3076923076923077, "ud.noun": 0.6923076923076923}
dependent	{"ud.adj": 1.0}
depending	{"ud.verb": 1.0}
depends	{"ud.verb": 1.0}
deployed	{"ud.verb": 1.0}
deposit	{"ud.noun": 1.0}
deposition	{"ud.noun": 1.0}
depot	{"ud.noun": 0.25, "ud.propn": 0.75}
deputy	{"ud.noun": 1.0}
deregulation	{"ud.noun": 1.0}
derivatives	{"ud.noun": 1.0}
describe	{"ud.verb": 1.0}
described	{"ud.verb": 1.0}
describing	{"ud.verb": 1.0}
description	{"ud.noun": 1.0}
descriptions	{"ud.noun": 1.0}
deserve	{"ud.verb": 1.0}
deserves	{"ud.verb": 1.0}
design	{"ud.noun": 0.8, "ud.propn": 0.15, "ud.verb": 0.05}
designated	{"ud.verb": 1.0}
designed	{"ud.verb": 1.0}
designer	{"ud.noun": 1.0}
desire	{"ud.noun": 1.0}
desired	{"ud.verb": 1.0}
desk	{"ud.noun": 1.0}
desperate	{"ud.adj": 1.0}
despite	{"ud.adp": 0.8571428571428571, "ud.sconj": 0.14285714285714285}
dessert	{"ud.noun": 1.0}
destination	{"ud.noun": 1.0}
destinations	{"ud.noun": 1.0}
destroy	{"ud.verb": 1.0}
destroyed	{"ud.verb": 1.0}
destruction	{"ud.noun": 1.0}
detail	{"ud.noun": 1.0}
detailed	{"ud.adj": 1.0}
details	{"ud.noun": 0.8823529411764706, "ud.verb": 0.11764705882352941}
detained	{"ud.verb": 1.0}
deteriorated	{"ud.verb": 1.0}
deterioration	{"ud.noun": 1.0}
determine	{"ud.verb": 1.0}
determined	{"ud.verb": 0.5, "ud.adj": 0.5}
devastating	{"ud.adj": 1.0}
develop	{"ud.verb": 1.0}
developed	{"ud.verb": 1.0}
developer	{"ud.noun": 1.0}
developing	{"ud.verb": 1.0}
development	{"ud.noun": 0.9523809523809523, "ud.propn": 0.047619047619047616}
developments	{"ud.noun": 1.0}
device	{"ud.noun": 1.0}
devil	{"ud.noun": 0.07142857142857142, "ud.propn": 0.9285714285714286}
devoted	{"ud.verb": 0.6, "ud.adj": 0.4}
df	{"ud.propn": 1.0}
dhin	{"ud.intj": 1.0}
diagnosed	{"ud.verb": 1.0}
dial	{"ud.verb": 1.0}
diarrhea	{"ud.noun": 1.0}
dictatorship	{"ud.noun": 1.0}
did	{"ud.verb": 0.24315068493150685, "ud.aux": 0.7568493150684932}
die	{"ud.verb": 1.0}
died	{"ud.verb": 1.0}
diego	{"ud.propn": 1.0}
dies	{"ud.verb": 1.0}
difference	{"ud.noun": 1.0}
differences	{"ud.noun": 1.0}
different	{"ud.adj": 0.9827586206896551, "ud.noun": 0.017241379310344827}
differential	{"ud.noun": 1.0}
difficult	{"ud.adj": 1.0}
difficulties	{"ud.noun": 1.0}
difficulty	{"ud.noun": 1.0}
digital	{"ud.adj": 1.0}
dine	{"ud.verb": 1.0}
dining	{"ud.noun": 0.8461538461538461, "ud.verb": 0.15384615384615385}
dinner	{"ud.noun": 1.0}
dioxide	{"ud.noun": 1.0}
diplomacy	{"ud.noun": 1.0}
diplomatic	{"ud.adj": 1.0}
diplomats	{"ud.noun": 1.0}
dire	{"ud.adj": 1.0}
direct	{"ud.adj": 0.9166666666666666, "ud.verb": 0.08333333333333333}
directed	{"ud.verb": 1.0}
direction	{"ud.noun": 1.0}
directions	{"ud.noun": 1.0}
directly	{"ud.adv": 1.0}
director	{"ud.propn": 0.11764705882352941, "ud.noun": 0.8823529411764706}
dirt	{"ud.noun": 1.0}
dirty	{"ud.adj": 1.0}
disability	{"ud.noun": 1.0}
disappeared	{"ud.verb": 0.8, "ud.adj": 0.2}
disappointed	{"ud.adj": 0.7, "ud.verb": 0.3}
disappointment	{"ud.noun": 1.0}
disaster	{"ud.noun": 1.0}
disasters	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
disclose	{"ud.verb": 1.0}
disco	{"ud.propn": 0.8333333333333334, "ud.noun": 0.16666666666666666}
discomfort	{"ud.noun": 1.0}
discount	{"ud.noun": 0.8571428571428571, "ud.propn": 0.14285714285714285}
discouraged	{"ud.verb": 0.75, "ud.adj": 0.25}
discover	{"ud.verb": 1.0}
discovered	{"ud.verb": 1.0}
discovery	{"ud.noun": 0.75, "ud.propn": 0.25}
discrepancy	{"ud.noun": 1.0}
discuss	{"ud.verb": 1.0}
discussed	{"ud.verb": 1.0}
discussion	{"ud.noun": 1.0}
discussions	{"ud.noun": 1.0}
disease	{"ud.propn": 0.4, "ud.noun": 0.6}
diseases	{"ud.noun": 1.0}
dish	{"ud.noun": 1.0}
dishes	{"ud.noun": 1.0}
dismissed	{"ud.verb": 1.0}
disney	{"ud.propn": 1.0}
dispatch	{"ud.verb": 0.2, "ud.noun": 0.8}
displaced	{"ud.verb": 1.0}
dispute	{"ud.noun": 1.0}
disregard	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
disrupt	{"ud.verb": 1.0}
distance	{"ud.noun": 1.0}
distinction	{"ud.noun": 1.0}
distinguished	{"ud.adj": 1.0}
distracting	{"ud.verb": 0.25, "ud.adj": 0.75}
distributed	{"ud.verb": 1.0}
distribution	{"ud.noun": 1.0}
district	{"ud.noun": 0.2857142857142857, "ud.propn": 0.7142857142857143}
diversity	{"ud.noun": 1.0}
dividends	{"ud.noun": 1.0}
division	{"ud.noun": 1.0}
divisions	{"ud.noun": 1.0}
do	{"ud.aux": 0.6713615023474179, "ud.verb": 0.323943661971831, "ud.adp": 0.0011737089201877935, "ud.propn": 0.0011737089201877935, "ud.noun": 0.002347417840375587}
doc	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
doctor	{"ud.noun": 0.8717948717948718, "ud.propn": 0.1282051282051282}
doctors	{"ud.noun": 1.0}
document	{"ud.noun": 1.0}
documentation	{"ud.noun": 1.0}
documents	{"ud.noun": 1.0}
does	{"ud.aux": 0.8625, "ud.verb": 0.1375}
dog	{"ud.noun": 1.0}
dogs	{"ud.noun": 0.9523809523809523, "ud.adv": 0.047619047619047616}
doing	{"ud.verb": 1.0}
dollar	{"ud.noun": 1.0}
dollars	{"ud.noun": 1.0}
domain	{"ud.noun": 1.0}
domestic	{"ud.noun": 0.25, "ud.adj": 0.75}
dominant	{"ud.adj": 1.0}
dominate	{"ud.adj": 1.0}
dominated	{"ud.verb": 1.0}
dominos	{"ud.propn": 1.0}
don	{"ud.propn": 1.0}
donate	{"ud.verb": 1.0}
donations	{"ud.noun": 1.0}
done	{"ud.verb": 0.8777777777777778, "ud.adj": 0.12222222222222222}
dongle	{"ud.noun": 1.0}
door	{"ud.noun": 1.0}
doors	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
double	{"ud.adj": 0.7, "ud.adv": 0.1, "ud.verb": 0.1, "ud.noun": 0.1}
doubt	{"ud.noun": 0.6666666666666666, "ud.verb": 0.25, "ud.adv": 0.08333333333333333}
doubts	{"ud.noun": 1.0}
doug	{"ud.propn": 1.0}
dow	{"ud.propn": 1.0}
down	{"ud.adp": 0.5169491525423728, "ud.adv": 0.423728813559322, "ud.noun": 0.025423728813559324, "ud.adj": 0.025423728813559324, "ud.x": 0.00847457627118644}
download	{"ud.noun": 0.5, "ud.verb": 0.5}
downstream	{"ud.adj": 1.0}
downtown	{"ud.adj": 0.09090909090909091, "ud.propn": 0.2727272727272727, "ud.noun": 0.5454545454545454, "ud.adv": 0.09090909090909091}
doyon	{"ud.propn": 1.0}
dozen	{"ud.noun": 1.0}
dpr	{"ud.noun": 1.0}
dr	{"ud.propn": 0.8, "ud.noun": 0.2}
dr.	{"ud.propn": 1.0}
draft	{"ud.noun": 0.9512195121951219, "ud.verb": 0.04878048780487805}
drafted	{"ud.verb": 1.0}
drafts	{"ud.noun": 1.0}
drag	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
dragged	{"ud.verb": 1.0}
dragon	{"ud.propn": 0.2, "ud.noun": 0.8}
drama	{"ud.noun": 1.0}
dramatic	{"ud.adj": 1.0}
draw	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
drawn	{"ud.verb": 1.0}
dress	{"ud.verb": 0.09090909090909091, "ud.noun": 0.9090909090909091}
dresser	{"ud.noun": 1.0}
dresses	{"ud.noun": 1.0}
drew	{"ud.verb": 0.3333333333333333, "ud.propn": 0.6666666666666666}
dried	{"ud.verb": 0.8333333333333334, "ud.adj": 0.16666666666666666}
drill	{"ud.noun": 1.0}
drilling	{"ud.noun": 0.75, "ud.verb": 0.25}
drink	{"ud.noun": 0.5, "ud.verb": 0.5}
drinking	{"ud.verb": 0.8666666666666667, "ud.noun": 0.13333333333333333}
drinks	{"ud.noun": 1.0}
drive	{"ud.verb": 0.84, "ud.propn": 0.04, "ud.noun": 0.12}
driven	{"ud.verb": 1.0}
driver	{"ud.noun": 1.0}
driving	{"ud.verb": 0.65, "ud.noun": 0.25, "ud.propn": 0.1}
drop	{"ud.noun": 0.25, "ud.verb": 0.625, "ud.propn": 0.125}
dropped	{"ud.verb": 1.0}
dropping	{"ud.verb": 1.0}
drove	{"ud.verb": 1.0}
drug	{"ud.noun": 1.0}
drugs	{"ud.noun": 1.0}
dry	{"ud.verb": 0.11764705882352941, "ud.adj": 0.6470588235294118, "ud.noun": 0.23529411764705882}
dsl	{"ud.noun": 0.75, "ud.propn": 0.25}
dslr	{"ud.noun": 1.0}
dubai	{"ud.propn": 1.0}
duck	{"ud.noun": 1.0}
duct	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
dude	{"ud.noun": 1.0}
due	{"ud.adp": 0.8620689655172413, "ud.adj": 0.1206896551724138, "ud.verb": 0.017241379310344827}
duke	{"ud.propn": 1.0}
dulaim	{"ud.propn": 1.0}
dumb	{"ud.adj": 0.8571428571428571, "ud.propn": 0.14285714285714285}
dunn	{"ud.propn": 1.0}
duration	{"ud.noun": 1.0}
during	{"ud.adp": 0.9863013698630136, "ud.adv": 0.0136986301369863}
dusting	{"ud.noun": 0.75, "ud.verb": 0.25}
duty	{"ud.noun": 1.0}
dwarf	{"ud.adj": 1.0}
dykman	{"ud.propn": 1.0}
dysfunctional	{"ud.adj": 1.0}
e	{"ud.propn": 0.2857142857142857, "ud.noun": 0.5714285714285714, "ud.x": 0.14285714285714285}
e-mail	{"ud.noun": 0.96875, "ud.verb": 0.03125}
e.	{"ud.propn": 1.0}
e.g.	{"ud.x": 0.5, "ud.adv": 0.5}
each	{"ud.det": 1.0}
eager	{"ud.adj": 1.0}
eagle	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
earl	{"ud.propn": 1.0}
earlier	{"ud.adj": 0.3902439024390244, "ud.adv": 0.6097560975609756}
early	{"ud.adj": 0.7083333333333334, "ud.adv": 0.2916666666666667}
earned	{"ud.verb": 1.0}
earth	{"ud.noun": 0.5333333333333333, "ud.propn": 0.4666666666666667}
earthquake	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
earthquakes	{"ud.noun": 1.0}
earthworms	{"ud.noun": 1.0}
ease	{"ud.noun": 1.0}
easier	{"ud.adj": 0.8888888888888888, "ud.adv": 0.1111111111111111}
easiest	{"ud.adj": 1.0}
easily	{"ud.adv": 1.0}
east	{"ud.propn": 0.625, "ud.noun": 0.125, "ud.adj": 0.20833333333333334, "ud.adv": 0.041666666666666664}
easter	{"ud.propn": 1.0}
eastern	{"ud.propn": 0.3333333333333333, "ud.adj": 0.6666666666666666}
easy	{"ud.adj": 1.0}
eat	{"ud.verb": 1.0}
eaten	{"ud.verb": 1.0}
eating	{"ud.verb": 0.8571428571428571, "ud.noun": 0.14285714285714285}
eats	{"ud.verb": 0.75, "ud.noun": 0.25}
eb	{"ud.propn": 1.0}
ebs	{"ud.propn": 1.0}
eco	{"ud.propn": 0.6666666666666666, "ud.x": 0.3333333333333333}
ecology	{"ud.noun": 1.0}
ecommerce	{"ud.noun": 1.0}
economic	{"ud.adj": 1.0}
economy	{"ud.noun": 1.0}
ecosystems	{"ud.noun": 1.0}
ecp	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
ecs	{"ud.propn": 1.0}
ect	{"ud.x": 0.75, "ud.propn": 0.25}
ed	{"ud.noun": 0.13333333333333333, "ud.propn": 0.8666666666666667}
edge	{"ud.noun": 1.0}
edison	{"ud.propn": 1.0}
edit	{"ud.noun": 1.0}
education	{"ud.propn": 0.13636363636363635, "ud.noun": 0.8636363636363636}
educational	{"ud.adj": 1.0}
edwards	{"ud.propn": 1.0}
eeftl	{"ud.propn": 1.0}
eei	{"ud.propn": 0.2, "ud.noun": 0.8}
eerie	{"ud.adj": 1.0}
ees	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
effect	{"ud.noun": 1.0}
effected	{"ud.verb": 1.0}
effective	{"ud.adj": 0.9333333333333333, "ud.propn": 0.06666666666666667}
effectively	{"ud.adv": 1.0}
effects	{"ud.propn": 0.1111111111111111, "ud.noun": 0.8888888888888888}
effeminate	{"ud.adj": 1.0}
efficiency	{"ud.noun": 1.0}
efficient	{"ud.adj": 1.0}
efficiently	{"ud.adv": 1.0}
effort	{"ud.noun": 1.0}
efforts	{"ud.noun": 1.0}
egg	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
eggs	{"ud.noun": 1.0}
egm	{"ud.propn": 1.0}
ego	{"ud.noun": 1.0}
egypt	{"ud.propn": 1.0}
egyptian	{"ud.adj": 0.8076923076923077, "ud.propn": 0.19230769230769232}
eight	{"ud.num": 1.0}
either	{"ud.adv": 0.23404255319148937, "ud.det": 0.14893617021276595, "ud.cconj": 0.6170212765957447}
ekrapels@esaibos.com	{"ud.x": 1.0}
el	{"ud.propn": 1.0}
elder	{"ud.noun": 0.75, "ud.adj": 0.25}
elected	{"ud.verb": 1.0}
election	{"ud.noun": 0.7777777777777778, "ud.adj": 0.1111111111111111, "ud.propn": 0.1111111111111111}
elections	{"ud.noun": 1.0}
electoral	{"ud.propn": 0.5, "ud.adj": 0.5}
electric	{"ud.adj": 0.8571428571428571, "ud.noun": 0.14285714285714285}
electrical	{"ud.adj": 1.0}
electricity	{"ud.noun": 1.0}
electronic	{"ud.adj": 0.75, "ud.propn": 0.25}
elements	{"ud.noun": 1.0}
elena	{"ud.propn": 1.0}
eligible	{"ud.adj": 1.0}
eliminate	{"ud.verb": 1.0}
eliminated	{"ud.verb": 1.0}
elite	{"ud.adj": 0.75, "ud.propn": 0.25}
elk	{"ud.noun": 1.0}
elliott	{"ud.propn": 1.0}
ellis	{"ud.propn": 1.0}
elpaso	{"ud.propn": 1.0}
else	{"ud.adj": 0.7761194029850746, "ud.adv": 0.22388059701492538}
elsewhere	{"ud.adv": 1.0}
email	{"ud.noun": 0.9285714285714286, "ud.verb": 0.07142857142857142}
emailed	{"ud.verb": 1.0}
emails	{"ud.noun": 1.0}
embarrassment	{"ud.noun": 1.0}
embassies	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
embedded	{"ud.verb": 1.0}
emergency	{"ud.noun": 1.0}
emerging	{"ud.verb": 1.0}
emissions	{"ud.noun": 1.0}
employed	{"ud.verb": 1.0}
employees	{"ud.noun": 1.0}
employment	{"ud.noun": 1.0}
empty	{"ud.adj": 1.0}
ena	{"ud.propn": 0.9, "ud.noun": 0.1}
enable	{"ud.verb": 1.0}
enchiladas	{"ud.noun": 1.0}
encourage	{"ud.verb": 1.0}
encouraged	{"ud.verb": 1.0}
end	{"ud.verb": 0.14457831325301204, "ud.noun": 0.8554216867469879}
endangered	{"ud.noun": 0.2, "ud.adj": 0.8}
ended	{"ud.adj": 0.08333333333333333, "ud.verb": 0.9166666666666666}
ending	{"ud.verb": 1.0}
ends	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
ene	{"ud.propn": 1.0}
enemy	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
energy	{"ud.propn": 0.36538461538461536, "ud.noun": 0.6346153846153846}
enforcement	{"ud.noun": 1.0}
engage	{"ud.verb": 1.0}
engagement	{"ud.noun": 1.0}
engine	{"ud.noun": 1.0}
engineer	{"ud.noun": 1.0}
england	{"ud.propn": 1.0}
english	{"ud.propn": 0.7857142857142857, "ud.adj": 0.21428571428571427}
enjoy	{"ud.verb": 1.0}
enjoyable	{"ud.adj": 1.0}
enjoyed	{"ud.verb": 1.0}
enjoying	{"ud.verb": 1.0}
enjoyment	{"ud.noun": 1.0}
enjoys	{"ud.verb": 1.0}
enormous	{"ud.adj": 1.0}
enough	{"ud.adv": 0.3709677419354839, "ud.adj": 0.6290322580645161}
enovate	{"ud.noun": 1.0}
enpower	{"ud.propn": 1.0}
enron	{"ud.propn": 0.9523809523809523, "ud.x": 0.047619047619047616}
enron.xls	{"ud.noun": 1.0}
enrongss.xls	{"ud.noun": 1.0}
enrononline	{"ud.propn": 1.0}
ensure	{"ud.verb": 1.0}
enter	{"ud.verb": 1.0}
entered	{"ud.verb": 0.75, "ud.noun": 0.25}
entering	{"ud.verb": 0.8888888888888888, "ud.noun": 0.1111111111111111}
entertainment	{"ud.noun": 1.0}
entire	{"ud.adj": 0.9705882352941176, "ud.noun": 0.029411764705882353}
entirely	{"ud.adv": 1.0}
entities	{"ud.noun": 1.0}
entity	{"ud.noun": 1.0}
entourage	{"ud.noun": 1.0}
entree	{"ud.noun": 1.0}
entry	{"ud.noun": 1.0}
envelopes	{"ud.noun": 1.0}
environment	{"ud.noun": 1.0}
environmental	{"ud.adj": 0.8, "ud.propn": 0.2}
envoy	{"ud.noun": 1.0}
eol	{"ud.noun": 0.4444444444444444, "ud.propn": 0.5555555555555556}
epa	{"ud.propn": 1.0}
epc	{"ud.noun": 1.0}
epm	{"ud.noun": 1.0}
epstein	{"ud.propn": 1.0}
equal	{"ud.adj": 0.75, "ud.verb": 0.25}
equality	{"ud.noun": 0.42857142857142855, "ud.propn": 0.5714285714285714}
equally	{"ud.adv": 1.0}
equine	{"ud.adj": 1.0}
equipment	{"ud.noun": 1.0}
equipped	{"ud.verb": 1.0}
equity	{"ud.noun": 1.0}
equivalent	{"ud.adj": 1.0}
er	{"ud.intj": 0.16666666666666666, "ud.propn": 0.16666666666666666, "ud.noun": 0.6666666666666666}
era	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
ercot	{"ud.propn": 1.0}
eric	{"ud.propn": 1.0}
ernie	{"ud.propn": 1.0}
error	{"ud.noun": 1.0}
escape	{"ud.noun": 0.14285714285714285, "ud.verb": 0.8571428571428571}
escaping	{"ud.verb": 1.0}
espeak	{"ud.propn": 1.0}
especially	{"ud.adv": 1.0}
essence	{"ud.noun": 1.0}
essentially	{"ud.adv": 1.0}
essex	{"ud.propn": 1.0}
essie	{"ud.propn": 1.0}
establish	{"ud.verb": 1.0}
established	{"ud.verb": 1.0}
establishment	{"ud.noun": 1.0}
establishments	{"ud.noun": 1.0}
estimate	{"ud.noun": 0.5555555555555556, "ud.verb": 0.4444444444444444}
estimated	{"ud.verb": 1.0}
estimates	{"ud.noun": 1.0}
et	{"ud.propn": 0.3333333333333333, "ud.x": 0.3333333333333333, "ud.noun": 0.3333333333333333}
etc	{"ud.x": 1.0}
etc.	{"ud.x": 0.9473684210526315, "ud.noun": 0.05263157894736842}
ethnic	{"ud.adj": 1.0}
eu	{"ud.propn": 1.0}
europe	{"ud.propn": 1.0}
european	{"ud.adj": 0.8571428571428571, "ud.propn": 0.14285714285714285}
evaluate	{"ud.verb": 1.0}
evaluation	{"ud.noun": 1.0}
even	{"ud.adv": 0.9956709956709957, "ud.verb": 0.004329004329004329}
evening	{"ud.noun": 1.0}
event	{"ud.noun": 1.0}
events	{"ud.noun": 1.0}
eventually	{"ud.adv": 1.0}
ever	{"ud.adv": 0.989010989010989, "ud.pron": 0.01098901098901099}
everland	{"ud.propn": 1.0}
every	{"ud.det": 0.9361702127659575, "ud.adv": 0.031914893617021274, "ud.adj": 0.02127659574468085, "ud.x": 0.010638297872340425}
everybody	{"ud.pron": 1.0}
everyday	{"ud.noun": 0.6, "ud.adv": 0.4}
everyone	{"ud.pron": 1.0}
everything	{"ud.pron": 1.0}
everywhere	{"ud.adv": 1.0}
evidence	{"ud.noun": 0.9375, "ud.verb": 0.0625}
evident	{"ud.adj": 1.0}
evil	{"ud.noun": 0.8, "ud.adj": 0.2}
evolution	{"ud.noun": 1.0}
exact	{"ud.adv": 0.2, "ud.adj": 0.8}
exactly	{"ud.adv": 1.0}
exam	{"ud.noun": 1.0}
examine	{"ud.verb": 1.0}
example	{"ud.noun": 1.0}
examples	{"ud.noun": 1.0}
exceed	{"ud.verb": 1.0}
excel	{"ud.propn": 0.8, "ud.verb": 0.2}
excellent	{"ud.adj": 1.0}
except	{"ud.sconj": 0.08333333333333333, "ud.adp": 0.9166666666666666}
exception	{"ud.noun": 1.0}
exceptional	{"ud.adj": 1.0}
exchange	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
excited	{"ud.adj": 0.8888888888888888, "ud.verb": 0.1111111111111111}
excuse	{"ud.noun": 1.0}
execute	{"ud.verb": 1.0}
executed	{"ud.verb": 1.0}
executing	{"ud.verb": 1.0}
execution	{"ud.noun": 1.0}
executive	{"ud.adj": 0.8333333333333334, "ud.propn": 0.16666666666666666}
exhibit	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
exile	{"ud.propn": 1.0}
exist	{"ud.verb": 1.0}
existed	{"ud.verb": 1.0}
existence	{"ud.noun": 1.0}
existing	{"ud.verb": 1.0}
exists	{"ud.verb": 1.0}
exotic	{"ud.adj": 1.0}
expand	{"ud.verb": 1.0}
expanding	{"ud.verb": 1.0}
expansion	{"ud.noun": 1.0}
expect	{"ud.verb": 1.0}
expectations	{"ud.noun": 1.0}
expected	{"ud.verb": 1.0}
expecting	{"ud.verb": 1.0}
expense	{"ud.noun": 0.8571428571428571, "ud.verb": 0.14285714285714285}
expenses	{"ud.noun": 1.0}
expensive	{"ud.adj": 1.0}
experience	{"ud.noun": 0.9666666666666667, "ud.verb": 0.03333333333333333}
experienced	{"ud.verb": 0.6, "ud.adj": 0.4}
experiences	{"ud.noun": 1.0}
expert	{"ud.noun": 0.875, "ud.adj": 0.125}
expertise	{"ud.noun": 1.0}
experts	{"ud.noun": 1.0}
expired	{"ud.verb": 0.75, "ud.adj": 0.25}
explain	{"ud.verb": 1.0}
explained	{"ud.verb": 1.0}
explaining	{"ud.verb": 1.0}
explains	{"ud.verb": 1.0}
explanation	{"ud.noun": 1.0}
explode	{"ud.verb": 1.0}
exploration	{"ud.propn": 0.2, "ud.noun": 0.8}
explore	{"ud.verb": 1.0}
explosives	{"ud.noun": 1.0}
exposed	{"ud.verb": 0.8571428571428571, "ud.adj": 0.14285714285714285}
exposure	{"ud.noun": 1.0}
express	{"ud.verb": 0.2, "ud.propn": 0.4, "ud.adj": 0.4}
expressed	{"ud.verb": 1.0}
expression	{"ud.noun": 1.0}
extend	{"ud.verb": 1.0}
extended	{"ud.adj": 0.2, "ud.verb": 0.8}
extensive	{"ud.adj": 1.0}
extent	{"ud.noun": 1.0}
external	{"ud.adj": 1.0}
extra	{"ud.adj": 0.9411764705882353, "ud.noun": 0.058823529411764705}
extradited	{"ud.verb": 1.0}
extradition	{"ud.noun": 1.0}
extraordinary	{"ud.adj": 1.0}
extreme	{"ud.adj": 1.0}
extremely	{"ud.adv": 1.0}
extremist	{"ud.noun": 1.0}
extremists	{"ud.noun": 1.0}
eye	{"ud.noun": 0.8181818181818182, "ud.propn": 0.18181818181818182}
eyes	{"ud.noun": 1.0}
f	{"ud.propn": 0.5333333333333333, "ud.noun": 0.26666666666666666, "ud.adp": 0.2}
fabio	{"ud.propn": 1.0}
fabric	{"ud.noun": 1.0}
fabrications	{"ud.noun": 1.0}
fabulous	{"ud.adj": 1.0}
face	{"ud.verb": 0.39285714285714285, "ud.noun": 0.6071428571428571}
faced	{"ud.adj": 0.16666666666666666, "ud.verb": 0.8333333333333334}
faces	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
facilities	{"ud.noun": 1.0}
facility	{"ud.noun": 1.0}
facing	{"ud.verb": 1.0}
fact	{"ud.noun": 1.0}
factions	{"ud.noun": 1.0}
factor	{"ud.noun": 1.0}
factors	{"ud.noun": 1.0}
facts	{"ud.noun": 1.0}
failed	{"ud.verb": 1.0}
failing	{"ud.verb": 1.0}
failure	{"ud.noun": 1.0}
fair	{"ud.adj": 1.0}
fairly	{"ud.adv": 1.0}
faith	{"ud.noun": 1.0}
faithful	{"ud.adj": 1.0}
fake	{"ud.noun": 0.16666666666666666, "ud.adj": 0.8333333333333334}
fall	{"ud.noun": 0.6, "ud.verb": 0.4}
fallen	{"ud.verb": 1.0}
falling	{"ud.verb": 0.75, "ud.noun": 0.25}
fallout	{"ud.noun": 1.0}
falls	{"ud.propn": 0.45454545454545453, "ud.verb": 0.18181818181818182, "ud.noun": 0.36363636363636365}
fallujah	{"ud.propn": 1.0}
fallujan	{"ud.adj": 1.0}
false	{"ud.adj": 1.0}
familiar	{"ud.adj": 1.0}
