!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9983351831298557, "ud.sym": 0.0011098779134295228, "ud.noun": 0.0005549389567147614}
chi	{"ud.propn": 1.0}
chicago	{"ud.propn": 1.0}
chief	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
chile	{"ud.propn": 1.0}
china	{"ud.propn": 1.0}
chinesische	{"ud.adj": 1.0}
chinesischen	{"ud.adj": 1.0}
chinesischer	{"ud.adj": 1.0}
chor	{"ud.noun": 1.0}
chr	{"ud.x": 0.5555555555555556, "ud.propn": 0.4444444444444444}
chris	{"ud.propn": 1.0}
christen	{"ud.noun": 1.0}
christi	{"ud.propn": 1.0}
christian	{"ud.propn": 1.0}
christina	{"ud.propn": 1.0}
christliche	{"ud.adj": 1.0}
christlichen	{"ud.propn": 0.1111111111111111, "ud.adj": 0.8888888888888888}
christoph	{"ud.propn": 1.0}
christopher	{"ud.propn": 1.0}
christus	{"ud.propn": 1.0}
chur	{"ud.propn": 1.0}
château	{"ud.propn": 1.0}
circa	{"ud.adv": 1.0}
city	{"ud.noun": 0.07407407407407407, "ud.propn": 0.9259259259259259}
clark	{"ud.propn": 1.0}
claude	{"ud.propn": 1.0}
claus	{"ud.propn": 1.0}
clavel	{"ud.propn": 1.0}
clemens	{"ud.propn": 1.0}
clichy	{"ud.propn": 1.0}
club	{"ud.noun": 0.5, "ud.propn": 0.5}
clubs	{"ud.noun": 1.0}
cm	{"ud.noun": 1.0}
co	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
co.	{"ud.propn": 1.0}
coaching	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
coast	{"ud.propn": 1.0}
coburg	{"ud.propn": 1.0}
code	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
codes	{"ud.noun": 1.0}
codex	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
cola	{"ud.propn": 1.0}
college	{"ud.propn": 0.9545454545454546, "ud.noun": 0.045454545454545456}
colorado	{"ud.propn": 1.0}
columbia	{"ud.propn": 1.0}
columbus	{"ud.propn": 1.0}
comeback	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
comedy	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
committee	{"ud.propn": 1.0}
commonwealth	{"ud.propn": 1.0}
communauté	{"ud.propn": 1.0}
communes	{"ud.propn": 1.0}
communist	{"ud.propn": 1.0}
company	{"ud.propn": 1.0}
comune	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
conference	{"ud.propn": 1.0}
continental	{"ud.propn": 1.0}
convention	{"ud.propn": 1.0}
cool	{"ud.adj": 1.0}
cordillera	{"ud.propn": 1.0}
cornelius	{"ud.propn": 1.0}
corporation	{"ud.propn": 1.0}
corps	{"ud.propn": 0.7142857142857143, "ud.noun": 0.2857142857142857}
cottbus	{"ud.propn": 1.0}
council	{"ud.propn": 1.0}
country	{"ud.noun": 0.75, "ud.propn": 0.25}
county	{"ud.noun": 0.17073170731707318, "ud.propn": 0.8292682926829268}
countys	{"ud.noun": 0.8, "ud.propn": 0.2}
coupé	{"ud.noun": 1.0}
cousin	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
cover	{"ud.noun": 1.0}
crazy	{"ud.propn": 0.8, "ud.x": 0.2}
criminal	{"ud.propn": 1.0}
crécy	{"ud.propn": 1.0}
csu	{"ud.propn": 1.0}
cuarteto	{"ud.propn": 1.0}
cup	{"ud.noun": 0.11764705882352941, "ud.propn": 0.8823529411764706}
cups	{"ud.propn": 1.0}
curt	{"ud.propn": 1.0}
curtis	{"ud.propn": 1.0}
cvjm	{"ud.propn": 1.0}
côte	{"ud.propn": 1.0}
d	{"ud.x": 0.09090909090909091, "ud.propn": 0.8181818181818182, "ud.noun": 0.09090909090909091}
d'	{"ud.propn": 1.0}
d.	{"ud.propn": 1.0}
d.h.	{"ud.adv": 0.25, "ud.cconj": 0.25, "ud.x": 0.5}
da	{"ud.sconj": 0.8019323671497585, "ud.adv": 0.16908212560386474, "ud.propn": 0.024154589371980676, "ud.noun": 0.004830917874396135}
dabei	{"ud.adv": 1.0}
dach	{"ud.noun": 0.875, "ud.propn": 0.125}
dachte	{"ud.verb": 1.0}
dadurch	{"ud.adv": 0.8478260869565217, "ud.pron": 0.15217391304347827}
dafür	{"ud.adv": 0.6428571428571429, "ud.pron": 0.30952380952380953, "ud.cconj": 0.023809523809523808, "ud.adj": 0.023809523809523808}
dagegen	{"ud.adv": 0.9523809523809523, "ud.pron": 0.047619047619047616}
daheim	{"ud.adv": 1.0}
daher	{"ud.adv": 0.9811320754716981, "ud.pron": 0.018867924528301886}
dahin	{"ud.adv": 1.0}
dahinter	{"ud.adv": 0.3333333333333333, "ud.adp": 0.3333333333333333, "ud.adj": 0.3333333333333333}
dallas	{"ud.propn": 1.0}
damalige	{"ud.adj": 1.0}
damaligen	{"ud.adj": 1.0}
damals	{"ud.adv": 1.0}
dame	{"ud.noun": 0.875, "ud.propn": 0.125}
damen	{"ud.noun": 1.0}
damit	{"ud.sconj": 0.05660377358490566, "ud.adv": 0.8805031446540881, "ud.pron": 0.05660377358490566, "ud.cconj": 0.006289308176100629}
damm	{"ud.propn": 0.4, "ud.noun": 0.6}
dan	{"ud.propn": 1.0}
danach	{"ud.adv": 1.0}
dance	{"ud.noun": 0.125, "ud.propn": 0.875}
daneben	{"ud.adv": 0.967741935483871, "ud.cconj": 0.03225806451612903}
daniel	{"ud.propn": 1.0}
dank	{"ud.noun": 0.6, "ud.adp": 0.4}
danke	{"ud.noun": 1.0}
dann	{"ud.adv": 0.9943181818181818, "ud.sconj": 0.005681818181818182}
dante	{"ud.propn": 1.0}
dar	{"ud.adv": 0.9375, "ud.part": 0.03125, "ud.propn": 0.03125}
daran	{"ud.adv": 0.47058823529411764, "ud.pron": 0.5294117647058824}
darauf	{"ud.adv": 0.8142857142857143, "ud.pron": 0.18571428571428572}
darauffolgenden	{"ud.adj": 1.0}
daraufhin	{"ud.adv": 1.0}
daraus	{"ud.adv": 0.8, "ud.pron": 0.2}
darf	{"ud.aux": 1.0}
dargestellt	{"ud.verb": 0.7692307692307693, "ud.adj": 0.23076923076923078}
darin	{"ud.adv": 0.6285714285714286, "ud.pron": 0.37142857142857144}
dark	{"ud.propn": 1.0}
darm	{"ud.noun": 1.0}
darmstadt	{"ud.propn": 1.0}
darstellen	{"ud.verb": 1.0}
darsteller	{"ud.noun": 1.0}
darstellt	{"ud.verb": 1.0}
darstellte	{"ud.verb": 1.0}
darstellung	{"ud.noun": 1.0}
darstellungen	{"ud.noun": 1.0}
dartmouth	{"ud.propn": 1.0}
darum	{"ud.adv": 0.8, "ud.pron": 0.2}
darunter	{"ud.adv": 0.9736842105263158, "ud.adp": 0.02631578947368421}
darüber	{"ud.adv": 0.8157894736842105, "ud.adp": 0.07894736842105263, "ud.pron": 0.10526315789473684}
das	{"ud.pron": 0.1223267750213858, "ud.det": 0.8704020530367835, "ud.sconj": 0.007271171941830625}
dass	{"ud.sconj": 0.9808510638297873, "ud.cconj": 0.01702127659574468, "ud.propn": 0.002127659574468085}
datei	{"ud.noun": 1.0}
daten	{"ud.noun": 1.0}
datenbank	{"ud.noun": 1.0}
datiert	{"ud.verb": 1.0}
datierung	{"ud.noun": 1.0}
dato	{"ud.noun": 1.0}
dauer	{"ud.noun": 1.0}
dauerhaft	{"ud.adv": 0.3333333333333333, "ud.adj": 0.6666666666666666}
dauerhafte	{"ud.adj": 1.0}
dauerhaften	{"ud.adj": 1.0}
dauert	{"ud.verb": 1.0}
dauerte	{"ud.verb": 1.0}
dave	{"ud.propn": 1.0}
david	{"ud.propn": 1.0}
davies	{"ud.propn": 1.0}
davis	{"ud.propn": 1.0}
davon	{"ud.adv": 0.7051282051282052, "ud.pron": 0.2948717948717949}
davor	{"ud.adv": 0.875, "ud.pron": 0.125}
day	{"ud.propn": 1.0}
dazu	{"ud.adv": 0.6785714285714286, "ud.pron": 0.2976190476190476, "ud.cconj": 0.023809523809523808}
daß	{"ud.sconj": 0.9661016949152542, "ud.cconj": 0.03389830508474576}
dbd	{"ud.propn": 1.0}
ddp	{"ud.propn": 1.0}
ddr	{"ud.propn": 1.0}
de	{"ud.adp": 0.06206896551724138, "ud.propn": 0.9379310344827586}
dean	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
debatte	{"ud.noun": 1.0}
debüt	{"ud.noun": 1.0}
debütalbum	{"ud.noun": 1.0}
debütierte	{"ud.verb": 1.0}
decke	{"ud.noun": 1.0}
decken	{"ud.noun": 1.0}
deep	{"ud.propn": 1.0}
definieren	{"ud.verb": 1.0}
definiert	{"ud.verb": 0.8, "ud.adj": 0.2}
definierten	{"ud.adj": 1.0}
definition	{"ud.noun": 1.0}
deinen	{"ud.pron": 0.3333333333333333, "ud.det": 0.6666666666666666}
dekan	{"ud.noun": 1.0}
dekret	{"ud.noun": 1.0}
del	{"ud.propn": 1.0}
delegation	{"ud.noun": 0.6, "ud.propn": 0.4}
delegierter	{"ud.noun": 1.0}
della	{"ud.propn": 1.0}
delorme	{"ud.propn": 1.0}
dem	{"ud.det": 0.970990990990991, "ud.pron": 0.029009009009009008}
dementsprechend	{"ud.adv": 0.5, "ud.adj": 0.5}
demjenigen	{"ud.pron": 1.0}
demnach	{"ud.adv": 1.0}
democratic	{"ud.propn": 1.0}
demokraten	{"ud.noun": 0.8571428571428571, "ud.propn": 0.14285714285714285}
demokratie	{"ud.noun": 1.0}
demokratisch	{"ud.adv": 0.25, "ud.adj": 0.5, "ud.propn": 0.25}
demokratische	{"ud.adj": 0.2857142857142857, "ud.propn": 0.7142857142857143}
demokratischen	{"ud.adj": 0.42857142857142855, "ud.propn": 0.5714285714285714}
demonstranten	{"ud.noun": 1.0}
den	{"ud.det": 0.9782866166600869, "ud.pron": 0.020134228187919462, "ud.sconj": 0.00039478878799842083, "ud.propn": 0.0007895775759968417, "ud.x": 0.00039478878799842083}
denen	{"ud.pron": 1.0}
denke	{"ud.verb": 1.0}
denken	{"ud.verb": 0.5454545454545454, "ud.noun": 0.36363636363636365, "ud.propn": 0.09090909090909091}
denkens	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
denkmalschutz	{"ud.noun": 0.9230769230769231, "ud.propn": 0.07692307692307693}
denkmäler	{"ud.noun": 1.0}
denn	{"ud.sconj": 0.43243243243243246, "ud.adv": 0.1891891891891892, "ud.cconj": 0.3783783783783784}
dennoch	{"ud.adv": 0.8947368421052632, "ud.cconj": 0.05263157894736842, "ud.adj": 0.05263157894736842}
departamento	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
der	{"ud.det": 0.9368141004323246, "ud.pron": 0.06307504711229353, "ud.propn": 0.00011085245538188671}
derart	{"ud.adv": 1.0}
deren	{"ud.pron": 0.19101123595505617, "ud.det": 0.8089887640449438}
derselben	{"ud.det": 0.75, "ud.pron": 0.25}
derzeit	{"ud.adv": 1.0}
derzeitige	{"ud.adj": 1.0}
des	{"ud.det": 0.9787018255578094, "ud.pron": 0.017748478701825558, "ud.propn": 0.0035496957403651115}
deshalb	{"ud.adv": 1.0}
design	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
designated	{"ud.adj": 0.25, "ud.propn": 0.75}
designer	{"ud.noun": 1.0}
desselben	{"ud.pron": 0.5, "ud.det": 0.5}
dessen	{"ud.pron": 0.1111111111111111, "ud.det": 0.8888888888888888}
deswegen	{"ud.adv": 1.0}
detail	{"ud.noun": 1.0}
details	{"ud.noun": 1.0}
deuten	{"ud.verb": 1.0}
deutlich	{"ud.adv": 0.24242424242424243, "ud.adj": 0.7575757575757576}
deutliche	{"ud.adj": 1.0}
deutlichen	{"ud.adj": 1.0}
deutsch	{"ud.propn": 0.21212121212121213, "ud.adj": 0.696969696969697, "ud.noun": 0.09090909090909091}
deutsche	{"ud.adj": 0.6447368421052632, "ud.propn": 0.2894736842105263, "ud.noun": 0.06578947368421052}
deutschen	{"ud.adj": 0.576271186440678, "ud.noun": 0.06779661016949153, "ud.propn": 0.3559322033898305}
deutscher	{"ud.adj": 0.6428571428571429, "ud.propn": 0.35714285714285715}
deutschland	{"ud.propn": 1.0}
deutschlands	{"ud.propn": 1.0}
deutschsprachige	{"ud.adj": 1.0}
deutschsprachigen	{"ud.adj": 1.0}
deutz	{"ud.propn": 1.0}
dezember	{"ud.propn": 1.0}
dezentral	{"ud.adj": 1.0}
dfb	{"ud.propn": 1.0}
di	{"ud.propn": 0.9375, "ud.noun": 0.0625}
diagnostik	{"ud.noun": 0.75, "ud.propn": 0.25}
dialekt	{"ud.noun": 1.0}
dicht	{"ud.adj": 1.0}
dichte	{"ud.noun": 0.7142857142857143, "ud.adj": 0.2857142857142857}
dichter	{"ud.adj": 0.2222222222222222, "ud.noun": 0.7777777777777778}
dick	{"ud.adj": 0.6, "ud.propn": 0.4}
dicke	{"ud.adj": 0.25, "ud.noun": 0.75}
die	{"ud.det": 0.8737444196428571, "ud.pron": 0.12611607142857142, "ud.x": 0.00013950892857142856}
diejenigen	{"ud.pron": 1.0}
dienen	{"ud.verb": 1.0}
dienst	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
dienstag	{"ud.propn": 1.0}
dienste	{"ud.noun": 1.0}
dienstgrad	{"ud.noun": 1.0}
dienststelle	{"ud.noun": 1.0}
dienstzeit	{"ud.noun": 1.0}
dient	{"ud.verb": 1.0}
diente	{"ud.verb": 0.9629629629629629, "ud.noun": 0.037037037037037035}
dienten	{"ud.verb": 1.0}
dies	{"ud.pron": 1.0}
diese	{"ud.pron": 0.9915492957746479, "ud.det": 0.008450704225352112}
dieselbe	{"ud.det": 0.3333333333333333, "ud.pron": 0.6666666666666666}
dieselben	{"ud.pron": 1.0}
diesem	{"ud.pron": 0.9764705882352941, "ud.det": 0.023529411764705882}
diesen	{"ud.pron": 1.0}
dieser	{"ud.pron": 0.9967637540453075, "ud.det": 0.003236245954692557}
dieses	{"ud.pron": 0.984, "ud.det": 0.016}
diesmal	{"ud.adv": 1.0}
dieter	{"ud.propn": 1.0}
dietrich	{"ud.propn": 1.0}
differenzen	{"ud.noun": 1.0}
digital	{"ud.propn": 0.8, "ud.adj": 0.2}
digitalen	{"ud.propn": 0.3333333333333333, "ud.adj": 0.6666666666666666}
diktatur	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
dillenburg	{"ud.propn": 1.0}
dillingen	{"ud.propn": 1.0}
dinge	{"ud.noun": 1.0}
diplom	{"ud.noun": 1.0}
direkt	{"ud.adv": 0.2708333333333333, "ud.adj": 0.7291666666666666}
direkte	{"ud.adj": 1.0}
direkten	{"ud.adj": 1.0}
direktes	{"ud.adj": 1.0}
direktor	{"ud.noun": 0.875, "ud.propn": 0.125}
dirigent	{"ud.noun": 1.0}
dirigenten	{"ud.noun": 1.0}
dischinger	{"ud.propn": 1.0}
diskussion	{"ud.noun": 1.0}
diskussionen	{"ud.noun": 1.0}
diskutieren	{"ud.verb": 1.0}
diskutiert	{"ud.verb": 1.0}
disput	{"ud.noun": 1.0}
dissertation	{"ud.noun": 1.0}
distanz	{"ud.noun": 1.0}
distanzierte	{"ud.verb": 1.0}
district	{"ud.noun": 0.16666666666666666, "ud.propn": 0.8333333333333334}
distrikt	{"ud.noun": 1.0}
disziplin	{"ud.noun": 1.0}
diversen	{"ud.adj": 1.0}
diverser	{"ud.adj": 1.0}
division	{"ud.noun": 0.6111111111111112, "ud.propn": 0.3888888888888889}
división	{"ud.propn": 1.0}
diözese	{"ud.noun": 1.0}
dj	{"ud.propn": 0.5, "ud.noun": 0.5}
dna	{"ud.noun": 1.0}
do	{"ud.propn": 1.0}
doch	{"ud.adv": 0.6219512195121951, "ud.cconj": 0.35365853658536583, "ud.sconj": 0.012195121951219513, "ud.adj": 0.012195121951219513}
documenta	{"ud.propn": 1.0}
doktor	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
dokumentation	{"ud.noun": 1.0}
dokumente	{"ud.noun": 1.0}
dokumenten	{"ud.noun": 1.0}
dokumentiert	{"ud.verb": 1.0}
dollar	{"ud.propn": 0.5882352941176471, "ud.noun": 0.4117647058823529}
dom	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
dominiert	{"ud.verb": 1.0}
domkapitel	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
domäne	{"ud.noun": 1.0}
don	{"ud.propn": 0.8, "ud.noun": 0.2}
donau	{"ud.propn": 0.9166666666666666, "ud.noun": 0.08333333333333333}
dong	{"ud.propn": 1.0}
donnerstag	{"ud.propn": 1.0}
donuts	{"ud.noun": 0.75, "ud.propn": 0.25}
doornkaat	{"ud.propn": 1.0}
doppel	{"ud.noun": 0.875, "ud.propn": 0.125}
doppelt	{"ud.adv": 0.3333333333333333, "ud.adj": 0.6666666666666666}
doppelte	{"ud.noun": 0.4, "ud.adj": 0.4, "ud.propn": 0.2}
dorf	{"ud.noun": 0.9024390243902439, "ud.propn": 0.0975609756097561}
dorfes	{"ud.noun": 1.0}
dort	{"ud.adv": 1.0}
dorthin	{"ud.adv": 1.0}
dortigen	{"ud.adj": 1.0}
dortmund	{"ud.propn": 1.0}
douglas	{"ud.propn": 1.0}
dover	{"ud.propn": 1.0}
dozent	{"ud.noun": 1.0}
dr.	{"ud.noun": 0.5853658536585366, "ud.propn": 0.3902439024390244, "ud.pron": 0.024390243902439025}
drama	{"ud.noun": 0.7142857142857143, "ud.propn": 0.2857142857142857}
dramatisch	{"ud.adv": 0.25, "ud.adj": 0.75}
dramen	{"ud.noun": 1.0}
dran	{"ud.adv": 1.0}
drang	{"ud.noun": 1.0}
dreharbeiten	{"ud.noun": 1.0}
drehbuchautor	{"ud.noun": 1.0}
drehbücher	{"ud.noun": 1.0}
dreht	{"ud.verb": 1.0}
drei	{"ud.num": 0.9559748427672956, "ud.propn": 0.025157232704402517, "ud.noun": 0.018867924528301886}
dreieckigen	{"ud.det": 0.3333333333333333, "ud.adj": 0.6666666666666666}
dreimal	{"ud.adv": 1.0}
dreitägigen	{"ud.adj": 1.0}
dreißigjährigen	{"ud.propn": 1.0}
dresden	{"ud.propn": 1.0}
dresdner	{"ud.propn": 0.6666666666666666, "ud.adj": 0.3333333333333333}
dringend	{"ud.adv": 0.75, "ud.adj": 0.25}
dritte	{"ud.adj": 0.782608695652174, "ud.propn": 0.13043478260869565, "ud.noun": 0.08695652173913043}
drittel	{"ud.noun": 0.875, "ud.adj": 0.125}
dritten	{"ud.adj": 0.8378378378378378, "ud.propn": 0.13513513513513514, "ud.noun": 0.02702702702702703}
dritter	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
drive	{"ud.propn": 1.0}
druck	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
druckerei	{"ud.noun": 1.0}
druckluft	{"ud.noun": 1.0}
drückt	{"ud.verb": 1.0}
du	{"ud.pron": 0.5714285714285714, "ud.propn": 0.42857142857142855}
duell	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
dunkel	{"ud.adj": 0.75, "ud.noun": 0.25}
dunklen	{"ud.adj": 1.0}
dunkler	{"ud.adj": 1.0}
dur	{"ud.noun": 1.0}
durch	{"ud.adp": 1.0}
durchaus	{"ud.adv": 1.0}
durchbruch	{"ud.noun": 1.0}
durchführen	{"ud.verb": 0.8, "ud.noun": 0.2}
durchführung	{"ud.noun": 1.0}
durchgang	{"ud.noun": 1.0}
durchgeführt	{"ud.verb": 1.0}
durchgeführten	{"ud.adj": 1.0}
durchgehende	{"ud.adj": 1.0}
durchgesetzt	{"ud.verb": 1.0}
durchmesser	{"ud.noun": 0.9166666666666666, "ud.adj": 0.08333333333333333}
durchqueren	{"ud.verb": 1.0}
durchschnitt	{"ud.noun": 1.0}
durchschnittlich	{"ud.adj": 0.7777777777777778, "ud.adv": 0.2222222222222222}
durchschnittliche	{"ud.adj": 1.0}
durchschnittsalter	{"ud.noun": 1.0}
durchsetzen	{"ud.verb": 1.0}
durchweg	{"ud.adv": 0.75, "ud.adj": 0.25}
durchzusetzen	{"ud.verb": 1.0}
durfte	{"ud.verb": 0.125, "ud.aux": 0.875}
durften	{"ud.aux": 1.0}
dutzend	{"ud.noun": 1.0}
dutzende	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
dvd	{"ud.propn": 0.16666666666666666, "ud.noun": 0.8333333333333334}
dynamik	{"ud.noun": 1.0}
dynamo	{"ud.propn": 1.0}
dynastie	{"ud.noun": 0.75, "ud.propn": 0.25}
dänemark	{"ud.propn": 1.0}
dänemarks	{"ud.propn": 1.0}
dänischen	{"ud.adj": 0.9, "ud.propn": 0.1}
département	{"ud.noun": 0.55, "ud.propn": 0.45}
dörfern	{"ud.noun": 1.0}
dünen	{"ud.noun": 1.0}
dünn	{"ud.adj": 1.0}
dürfen	{"ud.verb": 0.06666666666666667, "ud.aux": 0.9333333333333333}
dürfte	{"ud.aux": 1.0}
dürften	{"ud.aux": 1.0}
düse	{"ud.noun": 1.0}
düsseldorf	{"ud.propn": 1.0}
e	{"ud.noun": 0.38461538461538464, "ud.propn": 0.4230769230769231, "ud.x": 0.07692307692307693, "ud.cconj": 0.038461538461538464, "ud.adj": 0.07692307692307693}
e.	{"ud.propn": 1.0}
e.v.	{"ud.propn": 0.9230769230769231, "ud.noun": 0.07692307692307693}
east	{"ud.noun": 0.1, "ud.propn": 0.9}
eastern	{"ud.propn": 1.0}
eben	{"ud.adv": 1.0}
ebene	{"ud.noun": 0.8125, "ud.propn": 0.1875}
ebenen	{"ud.noun": 1.0}
ebenfalls	{"ud.adv": 0.9887640449438202, "ud.cconj": 0.011235955056179775}
ebenso	{"ud.adv": 1.0}
eberhard	{"ud.propn": 1.0}
ebner	{"ud.propn": 1.0}
echt	{"ud.adv": 0.8823529411764706, "ud.adj": 0.11764705882352941}
echten	{"ud.adj": 0.6, "ud.propn": 0.4}
echtes	{"ud.adj": 1.0}
ecke	{"ud.noun": 1.0}
ecken	{"ud.noun": 1.0}
ecuador	{"ud.propn": 1.0}
eder	{"ud.propn": 1.0}
edgar	{"ud.propn": 1.0}
edition	{"ud.noun": 0.6, "ud.propn": 0.4}
edmonton	{"ud.propn": 1.0}
eduard	{"ud.propn": 1.0}
effekt	{"ud.noun": 0.8, "ud.propn": 0.2}
effektiv	{"ud.adj": 0.75, "ud.adv": 0.25}
effizienz	{"ud.noun": 1.0}
eg	{"ud.noun": 0.25, "ud.propn": 0.75}
egal	{"ud.adv": 1.0}
egon	{"ud.propn": 1.0}
ehe	{"ud.noun": 0.7692307692307693, "ud.sconj": 0.19230769230769232, "ud.propn": 0.038461538461538464}
ehefrau	{"ud.noun": 1.0}
ehemalige	{"ud.adj": 1.0}
ehemaligen	{"ud.adj": 1.0}
ehemals	{"ud.adv": 1.0}
ehemann	{"ud.noun": 1.0}
ehepaar	{"ud.noun": 1.0}
eher	{"ud.adv": 1.0}
ehre	{"ud.noun": 1.0}
ehren	{"ud.noun": 1.0}
ehrendoktorwürde	{"ud.noun": 1.0}
ehrlich	{"ud.propn": 1.0}
ei	{"ud.adp": 0.3333333333333333, "ud.noun": 0.3333333333333333, "ud.propn": 0.3333333333333333}
eichen	{"ud.noun": 1.0}
eier	{"ud.noun": 1.0}
eiförmig	{"ud.adv": 0.125, "ud.adj": 0.875}
eigene	{"ud.adj": 1.0}
eigenem	{"ud.adj": 1.0}
eigenen	{"ud.adj": 0.96, "ud.noun": 0.04}
eigener	{"ud.adj": 1.0}
eigenes	{"ud.adj": 1.0}
eigens	{"ud.adv": 0.8, "ud.adj": 0.2}
eigenschaften	{"ud.noun": 1.0}
eigenständig	{"ud.adj": 1.0}
eigenständige	{"ud.adj": 1.0}
eigenständigen	{"ud.adj": 1.0}
eigentlich	{"ud.adv": 0.5882352941176471, "ud.adj": 0.4117647058823529}
eigentliche	{"ud.adj": 1.0}
eigentlichen	{"ud.adj": 1.0}
eigentum	{"ud.noun": 1.0}
eigentümer	{"ud.noun": 1.0}
ein	{"ud.det": 0.8969816272965879, "ud.adv": 0.08267716535433071, "ud.pron": 0.0013123359580052493, "ud.num": 0.01837270341207349, "ud.noun": 0.0006561679790026247}
einberufen	{"ud.verb": 1.0}
einbezogen	{"ud.verb": 0.75, "ud.adj": 0.25}
einbruch	{"ud.noun": 1.0}
eindeutig	{"ud.adv": 0.5, "ud.adj": 0.5}
eindruck	{"ud.noun": 1.0}
eindrücke	{"ud.noun": 1.0}
eine	{"ud.num": 0.007822685788787484, "ud.det": 0.970664928292047, "ud.pron": 0.02151238591916558}
einem	{"ud.det": 0.948905109489051, "ud.pron": 0.0364963503649635, "ud.num": 0.014598540145985401}
einen	{"ud.det": 0.9354243542435424, "ud.pron": 0.04981549815498155, "ud.adj": 0.0036900369003690036, "ud.num": 0.01107011070110701}
einer	{"ud.num": 0.016442451420029897, "ud.pron": 0.07922272047832586, "ud.det": 0.9043348281016442}
einerseits	{"ud.adv": 1.0}
eines	{"ud.det": 0.8825757575757576, "ud.pron": 0.11742424242424243}
einfach	{"ud.adv": 0.6875, "ud.adj": 0.3125}
einfache	{"ud.adj": 1.0}
einfachen	{"ud.adj": 1.0}
einfacher	{"ud.adj": 1.0}
einfluss	{"ud.noun": 1.0}
einflüsse	{"ud.noun": 1.0}
einführung	{"ud.noun": 1.0}
eingang	{"ud.noun": 1.0}
eingebaut	{"ud.verb": 1.0}
eingebauten	{"ud.adj": 1.0}
eingebracht	{"ud.verb": 1.0}
eingefügt	{"ud.verb": 1.0}
eingeführt	{"ud.verb": 1.0}
eingegliedert	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
eingeht	{"ud.verb": 1.0}
eingeleitet	{"ud.verb": 1.0}
eingemeindet	{"ud.verb": 1.0}
eingemeindung	{"ud.noun": 1.0}
eingenommen	{"ud.verb": 1.0}
eingereicht	{"ud.verb": 1.0}
eingerichtet	{"ud.adj": 0.26666666666666666, "ud.verb": 0.7333333333333333}
eingerichtete	{"ud.verb": 1.0}
eingeschränkt	{"ud.verb": 0.6, "ud.adj": 0.4}
eingesetzt	{"ud.verb": 1.0}
eingesetzten	{"ud.adj": 1.0}
eingestellt	{"ud.verb": 0.8571428571428571, "ud.adj": 0.14285714285714285}
eingestuft	{"ud.verb": 1.0}
eingeweiht	{"ud.verb": 1.0}
eingezogen	{"ud.verb": 1.0}
eingliederung	{"ud.noun": 1.0}
eingreifen	{"ud.noun": 1.0}
eingriff	{"ud.noun": 0.75, "ud.verb": 0.25}
einheimische	{"ud.adj": 1.0}
einheimischen	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
einheit	{"ud.noun": 1.0}
einheiten	{"ud.noun": 1.0}
einheitlich	{"ud.adj": 1.0}
einher	{"ud.adv": 1.0}
einige	{"ud.pron": 0.9595959595959596, "ud.det": 0.04040404040404041}
einigen	{"ud.det": 0.058823529411764705, "ud.pron": 0.8823529411764706, "ud.verb": 0.058823529411764705}
einiger	{"ud.pron": 1.0}
einigermaßen	{"ud.adv": 1.0}
einiges	{"ud.pron": 1.0}
einladung	{"ud.noun": 1.0}
einmal	{"ud.adv": 1.0}
einmalig	{"ud.adj": 0.75, "ud.adv": 0.25}
einnahm	{"ud.part": 0.4, "ud.verb": 0.6}
einnahme	{"ud.noun": 0.75, "ud.propn": 0.25}
einnahmen	{"ud.noun": 1.0}
einordnung	{"ud.noun": 1.0}
einrichtung	{"ud.noun": 1.0}
einrichtungen	{"ud.noun": 1.0}
eins	{"ud.propn": 0.6666666666666666, "ud.det": 0.3333333333333333}
einsatz	{"ud.noun": 1.0}
